Encompass Health Rehabilitation Hospital of Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,ANTHEM BCBS OF COLORADO (BCOA) negotiated charge,BC OF CO ANTHEM EXCHANGE (BOAZ) negotiated charge,BC OF CO ANTHEM MEDICARE (BOAM) negotiated charge,BCBS OF COLORADO (BCCO) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NET MEDICARE (CHOM) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COLORADO CHOICE EXCHANGE (COLZ) negotiated charge,COLORADO CHOICE HEALTH (COL) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,COVENTRY HEALTHCARE WC (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MULTIPLAN (MUL) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,ROCKY MTN PACE DUAL (RMPM) negotiated charge,SLOANS LAKE MANAGED CARE (SLK) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-D,NA,NA,$20997.68,$25669.63,NA,$44424.24,NA,NA,NA,$44424.24,NA,$42203.03,$42203.03,$42647.27,NA,NA,$44424.24,$44424.24,NA,NA,NA,$44424.24,NA,NA,NA,NA,NA,NA,NA,NA,$44424.24,NA,$44424.24,$44424.24,NA,$44424.24,NA,NA,$51087.87,NA,NA,$44424.24,NA,$44424.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-A,NA,NA,$24014.30,$29357.45,NA,$50806.43,NA,NA,NA,$50806.43,NA,$48266.11,$48266.11,$48774.17,NA,NA,$50806.43,$50806.43,NA,NA,NA,$50806.43,NA,NA,NA,NA,NA,NA,NA,NA,$50806.43,NA,$50806.43,$50806.43,NA,$50806.43,NA,NA,$58427.39,NA,NA,$50806.43,NA,$50806.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-B,NA,NA,$29583.18,$36165.40,NA,$62588.37,NA,NA,NA,$62588.37,NA,$59458.95,$59458.95,$60084.83,NA,NA,$62588.37,$62588.37,NA,NA,NA,$62588.37,NA,NA,NA,NA,NA,NA,NA,NA,$62588.37,NA,$62588.37,$62588.37,NA,$62588.37,NA,NA,$71976.62,NA,NA,$62588.37,NA,$62588.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-C,NA,NA,$29583.18,$36165.40,NA,$62588.37,NA,NA,NA,$62588.37,NA,$59458.95,$59458.95,$60084.83,NA,NA,$62588.37,$62588.37,NA,NA,NA,$62588.37,NA,NA,NA,NA,NA,NA,NA,NA,$62588.37,NA,$62588.37,$62588.37,NA,$62588.37,NA,NA,$71976.62,NA,NA,$62588.37,NA,$62588.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-D,NA,NA,$26680.07,$32616.35,NA,$56446.34,NA,NA,NA,$56446.34,NA,$53624.01,$53624.01,$54188.47,NA,NA,$56446.34,$56446.34,NA,NA,NA,$56446.34,NA,NA,NA,NA,NA,NA,NA,NA,$56446.34,NA,$56446.34,$56446.34,NA,$56446.34,NA,NA,$64913.28,NA,NA,$56446.34,NA,$56446.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-A,NA,NA,$15533.71,$18989.94,NA,$32864.26,NA,NA,NA,$32864.26,NA,$31221.05,$31221.05,$31549.69,NA,NA,$32864.26,$32864.26,NA,NA,NA,$32864.26,NA,NA,NA,NA,NA,NA,NA,NA,$32864.26,NA,$32864.26,$32864.26,NA,$32864.26,NA,NA,$37793.90,NA,NA,$32864.26,NA,$32864.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-B,NA,NA,$23923.15,$29246.02,NA,$50613.58,NA,NA,NA,$50613.58,NA,$48082.90,$48082.90,$48589.04,NA,NA,$50613.58,$50613.58,NA,NA,NA,$50613.58,NA,NA,NA,NA,NA,NA,NA,NA,$50613.58,NA,$50613.58,$50613.58,NA,$50613.58,NA,NA,$58205.62,NA,NA,$50613.58,NA,$50613.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-C,NA,NA,$18767.03,$22942.67,NA,$39704.92,NA,NA,NA,$39704.92,NA,$37719.67,$37719.67,$38116.72,NA,NA,$39704.92,$39704.92,NA,NA,NA,$39704.92,NA,NA,NA,NA,NA,NA,NA,NA,$39704.92,NA,$39704.92,$39704.92,NA,$39704.92,NA,NA,$45660.65,NA,NA,$39704.92,NA,$39704.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-D,NA,NA,$17059.22,$20854.87,NA,$36091.74,NA,NA,NA,$36091.74,NA,$34287.16,$34287.16,$34648.07,NA,NA,$36091.74,$36091.74,NA,NA,NA,$36091.74,NA,NA,NA,NA,NA,NA,NA,NA,$36091.74,NA,$36091.74,$36091.74,NA,$36091.74,NA,NA,$41505.50,NA,NA,$36091.74,NA,$36091.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-A,NA,NA,$18971.69,$23192.87,NA,$40137.91,NA,NA,NA,$40137.91,NA,$38131.02,$38131.02,$38532.39,NA,NA,$40137.91,$40137.91,NA,NA,NA,$40137.91,NA,NA,NA,NA,NA,NA,NA,NA,$40137.91,NA,$40137.91,$40137.91,NA,$40137.91,NA,NA,$46158.60,NA,NA,$40137.91,NA,$40137.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-B,NA,NA,$29216.85,$35717.57,NA,$61813.33,NA,NA,NA,$61813.33,NA,$58722.67,$58722.67,$59340.80,NA,NA,$61813.33,$61813.33,NA,NA,NA,$61813.33,NA,NA,NA,NA,NA,NA,NA,NA,$61813.33,NA,$61813.33,$61813.33,NA,$61813.33,NA,NA,$71085.34,NA,NA,$61813.33,NA,$61813.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-C,NA,NA,$22922.19,$28022.35,NA,$48495.88,NA,NA,NA,$48495.88,NA,$46071.09,$46071.09,$46556.05,NA,NA,$48495.88,$48495.88,NA,NA,NA,$48495.88,NA,NA,NA,NA,NA,NA,NA,NA,$48495.88,NA,$48495.88,$48495.88,NA,$48495.88,NA,NA,$55770.27,NA,NA,$48495.88,NA,$48495.88,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-D,NA,NA,$20836.01,$25472.00,NA,$44082.20,NA,NA,NA,$44082.20,NA,$41878.10,$41878.10,$42318.92,NA,NA,$44082.20,$44082.20,NA,NA,NA,$44082.20,NA,NA,NA,NA,NA,NA,NA,NA,$44082.20,NA,$44082.20,$44082.20,NA,$44082.20,NA,NA,$50694.54,NA,NA,$44082.20,NA,$44082.20,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-A,NA,NA,$22490.51,$27494.62,NA,$47582.59,NA,NA,NA,$47582.59,NA,$45203.46,$45203.46,$45679.28,NA,NA,$47582.59,$47582.59,NA,NA,NA,$47582.59,NA,NA,NA,NA,NA,NA,NA,NA,$47582.59,NA,$47582.59,$47582.59,NA,$47582.59,NA,NA,$54719.97,NA,NA,$47582.59,NA,$47582.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-B,NA,NA,$34637.83,$42344.70,NA,$73282.35,NA,NA,NA,$73282.35,NA,$69618.23,$69618.23,$70351.06,NA,NA,$73282.35,$73282.35,NA,NA,NA,$73282.35,NA,NA,NA,NA,NA,NA,NA,NA,$73282.35,NA,$73282.35,$73282.35,NA,$73282.35,NA,NA,$84274.70,NA,NA,$73282.35,NA,$73282.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-C,NA,NA,$27171.95,$33217.67,NA,$57486.98,NA,NA,NA,$57486.98,NA,$54612.64,$54612.64,$55187.51,NA,NA,$57486.98,$57486.98,NA,NA,NA,$57486.98,NA,NA,NA,NA,NA,NA,NA,NA,$57486.98,NA,$57486.98,$57486.98,NA,$57486.98,NA,NA,$66110.03,NA,NA,$57486.98,NA,$57486.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-D,NA,NA,$24700.52,$30196.35,NA,$52258.25,NA,NA,NA,$52258.25,NA,$49645.33,$49645.33,$50167.92,NA,NA,$52258.25,$52258.25,NA,NA,NA,$52258.25,NA,NA,NA,NA,NA,NA,NA,NA,$52258.25,NA,$52258.25,$52258.25,NA,$52258.25,NA,NA,$60096.98,NA,NA,$52258.25,NA,$52258.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-A,NA,NA,$24879.39,$30415.02,NA,$52636.67,NA,NA,NA,$52636.67,NA,$50004.84,$50004.84,$50531.20,NA,NA,$52636.67,$52636.67,NA,NA,NA,$52636.67,NA,NA,NA,NA,NA,NA,NA,NA,$52636.67,NA,$52636.67,$52636.67,NA,$52636.67,NA,NA,$60532.17,NA,NA,$52636.67,NA,$52636.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-B,NA,NA,$38316.59,$46841.99,NA,$81065.42,NA,NA,NA,$81065.42,NA,$77012.14,$77012.14,$77822.80,NA,NA,$81065.42,$81065.42,NA,NA,NA,$81065.42,NA,NA,NA,NA,NA,NA,NA,NA,$81065.42,NA,$81065.42,$81065.42,NA,$81065.42,NA,NA,$93225.23,NA,NA,$81065.42,NA,$81065.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-C,NA,NA,$30059.58,$36747.80,NA,$63596.27,NA,NA,NA,$63596.27,NA,$60416.46,$60416.46,$61052.42,NA,NA,$63596.27,$63596.27,NA,NA,NA,$63596.27,NA,NA,NA,NA,NA,NA,NA,NA,$63596.27,NA,$63596.27,$63596.27,NA,$63596.27,NA,NA,$73135.71,NA,NA,$63596.27,NA,$63596.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-D,NA,NA,$27325.02,$33404.80,NA,$57810.82,NA,NA,NA,$57810.82,NA,$54920.29,$54920.29,$55498.39,NA,NA,$57810.82,$57810.82,NA,NA,NA,$57810.82,NA,NA,NA,NA,NA,NA,NA,NA,$57810.82,NA,$57810.82,$57810.82,NA,$57810.82,NA,NA,$66482.45,NA,NA,$57810.82,NA,$57810.82,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-A,NA,NA,$27299.22,$33373.26,NA,$57756.24,NA,NA,NA,$57756.24,NA,$54868.43,$54868.43,$55446.00,NA,NA,$57756.24,$57756.24,NA,NA,NA,$57756.24,NA,NA,NA,NA,NA,NA,NA,NA,$57756.24,NA,$57756.24,$57756.24,NA,$57756.24,NA,NA,$66419.68,NA,NA,$57756.24,NA,$57756.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-B,NA,NA,$42045.23,$51400.24,NA,$88954.00,NA,NA,NA,$88954.00,NA,$84506.30,$84506.30,$85395.84,NA,NA,$88954.00,$88954.00,NA,NA,NA,$88954.00,NA,NA,NA,NA,NA,NA,NA,NA,$88954.00,NA,$88954.00,$88954.00,NA,$88954.00,NA,NA,$102297.10,NA,NA,$88954.00,NA,$88954.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-C,NA,NA,$32985.05,$40324.18,NA,$69785.62,NA,NA,NA,$69785.62,NA,$66296.33,$66296.33,$66994.19,NA,NA,$69785.62,$69785.62,NA,NA,NA,$69785.62,NA,NA,NA,NA,NA,NA,NA,NA,$69785.62,NA,$69785.62,$69785.62,NA,$69785.62,NA,NA,$80253.45,NA,NA,$69785.62,NA,$69785.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-D,NA,NA,$29983.91,$36655.29,NA,$63436.17,NA,NA,NA,$63436.17,NA,$60264.37,$60264.37,$60898.73,NA,NA,$63436.17,$63436.17,NA,NA,NA,$63436.17,NA,NA,NA,NA,NA,NA,NA,NA,$63436.17,NA,$63436.17,$63436.17,NA,$63436.17,NA,NA,$72951.60,NA,NA,$63436.17,NA,$63436.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-A,NA,NA,$14068.39,$17198.59,NA,$29764.13,NA,NA,NA,$29764.13,NA,$28275.92,$28275.92,$28573.57,NA,NA,$29764.13,$29764.13,NA,NA,NA,$29764.13,NA,NA,NA,NA,NA,NA,NA,NA,$29764.13,NA,$29764.13,$29764.13,NA,$29764.13,NA,NA,$34228.75,NA,NA,$29764.13,NA,$29764.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-B,NA,NA,$21293.49,$26031.27,NA,$45050.09,NA,NA,NA,$45050.09,NA,$42797.58,$42797.58,$43248.09,NA,NA,$45050.09,$45050.09,NA,NA,NA,$45050.09,NA,NA,NA,NA,NA,NA,NA,NA,$45050.09,NA,$45050.09,$45050.09,NA,$45050.09,NA,NA,$51807.60,NA,NA,$45050.09,NA,$45050.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-C,NA,NA,$16890.67,$20648.82,NA,$35735.15,NA,NA,NA,$35735.15,NA,$33948.39,$33948.39,$34305.75,NA,NA,$35735.15,$35735.15,NA,NA,NA,$35735.15,NA,NA,NA,NA,NA,NA,NA,NA,$35735.15,NA,$35735.15,$35735.15,NA,$35735.15,NA,NA,$41095.42,NA,NA,$35735.15,NA,$35735.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-D,NA,NA,$15169.10,$18544.20,NA,$32092.86,NA,NA,NA,$32092.86,NA,$30488.22,$30488.22,$30809.15,NA,NA,$32092.86,$32092.86,NA,NA,NA,$32092.86,NA,NA,NA,NA,NA,NA,NA,NA,$32092.86,NA,$32092.86,$32092.86,NA,$32092.86,NA,NA,$36906.79,NA,NA,$32092.86,NA,$32092.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-A,NA,NA,$17917.42,$21904.03,NA,$37907.43,NA,NA,NA,$37907.43,NA,$36012.05,$36012.05,$36391.13,NA,NA,$37907.43,$37907.43,NA,NA,NA,$37907.43,NA,NA,NA,NA,NA,NA,NA,NA,$37907.43,NA,$37907.43,$37907.43,NA,$37907.43,NA,NA,$43593.54,NA,NA,$37907.43,NA,$37907.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-B,NA,NA,$27116.91,$33150.39,NA,$57370.55,NA,NA,NA,$57370.55,NA,$54502.02,$54502.02,$55075.72,NA,NA,$57370.55,$57370.55,NA,NA,NA,$57370.55,NA,NA,NA,NA,NA,NA,NA,NA,$57370.55,NA,$57370.55,$57370.55,NA,$57370.55,NA,NA,$65976.13,NA,NA,$57370.55,NA,$57370.55,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-C,NA,NA,$21508.47,$26294.08,NA,$45504.92,NA,NA,NA,$45504.92,NA,$43229.67,$43229.67,$43684.72,NA,NA,$45504.92,$45504.92,NA,NA,NA,$45504.92,NA,NA,NA,NA,NA,NA,NA,NA,$45504.92,NA,$45504.92,$45504.92,NA,$45504.92,NA,NA,$52330.65,NA,NA,$45504.92,NA,$45504.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-D,NA,NA,$19317.38,$23615.48,NA,$40869.29,NA,NA,NA,$40869.29,NA,$38825.82,$38825.82,$39234.51,NA,NA,$40869.29,$40869.29,NA,NA,NA,$40869.29,NA,NA,NA,NA,NA,NA,NA,NA,$40869.29,NA,$40869.29,$40869.29,NA,$40869.29,NA,NA,$46999.68,NA,NA,$40869.29,NA,$40869.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-A,NA,NA,$21983.15,$26874.38,NA,$46509.18,NA,NA,NA,$46509.18,NA,$44183.72,$44183.72,$44648.82,NA,NA,$46509.18,$46509.18,NA,NA,NA,$46509.18,NA,NA,NA,NA,NA,NA,NA,NA,$46509.18,NA,$46509.18,$46509.18,NA,$46509.18,NA,NA,$53485.57,NA,NA,$46509.18,NA,$46509.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-B,NA,NA,$33270.55,$40673.20,NA,$70389.63,NA,NA,NA,$70389.63,NA,$66870.15,$66870.15,$67574.04,NA,NA,$70389.63,$70389.63,NA,NA,NA,$70389.63,NA,NA,NA,NA,NA,NA,NA,NA,$70389.63,NA,$70389.63,$70389.63,NA,$70389.63,NA,NA,$80948.07,NA,NA,$70389.63,NA,$70389.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-C,NA,NA,$26389.42,$32261.03,NA,$55831.40,NA,NA,NA,$55831.40,NA,$53039.83,$53039.83,$53598.14,NA,NA,$55831.40,$55831.40,NA,NA,NA,$55831.40,NA,NA,NA,NA,NA,NA,NA,NA,$55831.40,NA,$55831.40,$55831.40,NA,$55831.40,NA,NA,$64206.11,NA,NA,$55831.40,NA,$55831.40,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-D,NA,NA,$23701.29,$28974.79,NA,$50144.19,NA,NA,NA,$50144.19,NA,$47636.99,$47636.99,$48138.42,NA,NA,$50144.19,$50144.19,NA,NA,NA,$50144.19,NA,NA,NA,NA,NA,NA,NA,NA,$50144.19,NA,$50144.19,$50144.19,NA,$50144.19,NA,NA,$57665.82,NA,NA,$50144.19,NA,$50144.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-A,NA,NA,$25207.88,$30816.60,NA,$53331.65,NA,NA,NA,$53331.65,NA,$50665.07,$50665.07,$51198.38,NA,NA,$53331.65,$53331.65,NA,NA,NA,$53331.65,NA,NA,NA,NA,NA,NA,NA,NA,$53331.65,NA,$53331.65,$53331.65,NA,$53331.65,NA,NA,$61331.40,NA,NA,$53331.65,NA,$53331.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-B,NA,NA,$38151.49,$46640.14,NA,$80716.11,NA,NA,NA,$80716.11,NA,$76680.30,$76680.30,$77487.46,NA,NA,$80716.11,$80716.11,NA,NA,NA,$80716.11,NA,NA,NA,NA,NA,NA,NA,NA,$80716.11,NA,$80716.11,$80716.11,NA,$80716.11,NA,NA,$92823.52,NA,NA,$80716.11,NA,$80716.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-C,NA,NA,$30262.52,$36995.90,NA,$64025.63,NA,NA,NA,$64025.63,NA,$60824.35,$60824.35,$61464.61,NA,NA,$64025.63,$64025.63,NA,NA,NA,$64025.63,NA,NA,NA,NA,NA,NA,NA,NA,$64025.63,NA,$64025.63,$64025.63,NA,$64025.63,NA,NA,$73629.48,NA,NA,$64025.63,NA,$64025.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-D,NA,NA,$27178.83,$33226.08,NA,$57501.54,NA,NA,NA,$57501.54,NA,$54626.46,$54626.46,$55201.48,NA,NA,$57501.54,$57501.54,NA,NA,NA,$57501.54,NA,NA,NA,NA,NA,NA,NA,NA,$57501.54,NA,$57501.54,$57501.54,NA,$57501.54,NA,NA,$66126.77,NA,NA,$57501.54,NA,$57501.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-A,NA,NA,$30099.14,$36796.16,NA,$63679.96,NA,NA,NA,$63679.96,NA,$60495.97,$60495.97,$61132.76,NA,NA,$63679.96,$63679.96,NA,NA,NA,$63679.96,NA,NA,NA,NA,NA,NA,NA,NA,$63679.96,NA,$63679.96,$63679.96,NA,$63679.96,NA,NA,$73231.96,NA,NA,$63679.96,NA,$63679.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-B,NA,NA,$45553.73,$55689.38,NA,$96376.85,NA,NA,NA,$96376.85,NA,$91558.00,$91558.00,$92521.76,NA,NA,$96376.85,$96376.85,NA,NA,NA,$96376.85,NA,NA,NA,NA,NA,NA,NA,NA,$96376.85,NA,$96376.85,$96376.85,NA,$96376.85,NA,NA,$110833.37,NA,NA,$96376.85,NA,$96376.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-C,NA,NA,$36134.10,$44173.89,NA,$76447.97,NA,NA,NA,$76447.97,NA,$72625.57,$72625.57,$73390.06,NA,NA,$76447.97,$76447.97,NA,NA,NA,$76447.97,NA,NA,NA,NA,NA,NA,NA,NA,$76447.97,NA,$76447.97,$76447.97,NA,$76447.97,NA,NA,$87915.17,NA,NA,$76447.97,NA,$76447.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-D,NA,NA,$32451.90,$39672.40,NA,$68657.63,NA,NA,NA,$68657.63,NA,$65224.75,$65224.75,$65911.32,NA,NA,$68657.63,$68657.63,NA,NA,NA,$68657.63,NA,NA,NA,NA,NA,NA,NA,NA,$68657.63,NA,$68657.63,$68657.63,NA,$68657.63,NA,NA,$78956.27,NA,NA,$68657.63,NA,$68657.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-A,NA,NA,$38770.63,$47397.05,NA,$82026.02,NA,NA,NA,$82026.02,NA,$77924.71,$77924.71,$78744.98,NA,NA,$82026.02,$82026.02,NA,NA,NA,$82026.02,NA,NA,NA,NA,NA,NA,NA,NA,$82026.02,NA,$82026.02,$82026.02,NA,$82026.02,NA,NA,$94329.92,NA,NA,$82026.02,NA,$82026.02,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-B,NA,NA,$58679.65,$71735.79,NA,$124147.00,NA,NA,NA,$124147.00,NA,$117939.65,$117939.65,$119181.12,NA,NA,$124147.00,$124147.00,NA,NA,NA,$124147.00,NA,NA,NA,NA,NA,NA,NA,NA,$124147.00,NA,$124147.00,$124147.00,NA,$124147.00,NA,NA,$142769.05,NA,NA,$124147.00,NA,$124147.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-C,NA,NA,$46544.37,$56900.43,NA,$98472.70,NA,NA,NA,$98472.70,NA,$93549.07,$93549.07,$94533.80,NA,NA,$98472.70,$98472.70,NA,NA,NA,$98472.70,NA,NA,NA,NA,NA,NA,NA,NA,$98472.70,NA,$98472.70,$98472.70,NA,$98472.70,NA,NA,$113243.61,NA,NA,$98472.70,NA,$98472.70,NA,NA,NA,NA
