Encompass Health Rehabilitation Hospital of Littleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WC ACCESS (AETW) negotiated charge,ANTHEM BC OF CO MEDICARE (BCAM) negotiated charge,ANTHEM BC OF COLORADO (BCAC) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CHOICE CARE NETWORK MCR (CHOM) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COVENTRY (CHC) negotiated charge,COVENTRY WORK COMP (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WC (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE (PIN) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PRIME HEALTH SERVICES (PRH) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-D,NA,NA,$19677.61,$25143.62,NA,$21864.01,NA,$21864.01,NA,$20770.81,$20770.81,$20989.45,NA,NA,$21864.01,NA,$19677.61,NA,NA,$21864.01,NA,NA,NA,NA,NA,NA,$21864.01,NA,$19677.61,$21864.01,$21864.01,NA,NA,NA,NA,NA,$25143.62,$21864.01,NA,NA,$21864.01,NA,$21864.01,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-A,NA,NA,$21240.13,$27140.16,NA,$23600.14,NA,$23600.14,NA,$22420.13,$22420.13,$22656.13,NA,NA,$23600.14,NA,$21240.13,NA,NA,$23600.14,NA,NA,NA,NA,NA,NA,$23600.14,NA,$21240.13,$23600.14,$23600.14,NA,NA,NA,NA,NA,$27140.16,$23600.14,NA,NA,$23600.14,NA,$23600.14,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-B,NA,NA,$32712.10,$41798.80,NA,$36346.78,NA,$36346.78,NA,$34529.44,$34529.44,$34892.91,NA,NA,$36346.78,NA,$32712.10,NA,NA,$36346.78,NA,NA,NA,NA,NA,NA,$36346.78,NA,$32712.10,$36346.78,$36346.78,NA,NA,NA,NA,NA,$41798.80,$36346.78,NA,NA,$36346.78,NA,$36346.78,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-C,NA,NA,$25661.30,$32789.43,NA,$28512.55,NA,$28512.55,NA,$27086.92,$27086.92,$27372.05,NA,NA,$28512.55,NA,$25661.30,NA,NA,$28512.55,NA,NA,NA,NA,NA,NA,$28512.55,NA,$25661.30,$28512.55,$28512.55,NA,NA,NA,NA,NA,$32789.43,$28512.55,NA,NA,$28512.55,NA,$28512.55,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-D,NA,NA,$23327.27,$29807.07,NA,$25919.19,NA,$25919.19,NA,$24623.23,$24623.23,$24882.42,NA,NA,$25919.19,NA,$23327.27,NA,NA,$25919.19,NA,NA,NA,NA,NA,NA,$25919.19,NA,$23327.27,$25919.19,$25919.19,NA,NA,NA,NA,NA,$29807.07,$25919.19,NA,NA,$25919.19,NA,$25919.19,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-A,NA,NA,$23496.19,$30022.91,NA,$26106.88,NA,$26106.88,NA,$24801.53,$24801.53,$25062.60,NA,NA,$26106.88,NA,$23496.19,NA,NA,$26106.88,NA,NA,NA,NA,NA,NA,$26106.88,NA,$23496.19,$26106.88,$26106.88,NA,NA,NA,NA,NA,$30022.91,$26106.88,NA,NA,$26106.88,NA,$26106.88,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-B,NA,NA,$36186.34,$46238.10,NA,$40207.04,NA,$40207.04,NA,$38196.69,$38196.69,$38598.76,NA,NA,$40207.04,NA,$36186.34,NA,NA,$40207.04,NA,NA,NA,NA,NA,NA,$40207.04,NA,$36186.34,$40207.04,$40207.04,NA,NA,NA,NA,NA,$46238.10,$40207.04,NA,NA,$40207.04,NA,$40207.04,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-C,NA,NA,$28388.39,$36274.05,NA,$31542.65,NA,$31542.65,NA,$29965.52,$29965.52,$30280.95,NA,NA,$31542.65,NA,$28388.39,NA,NA,$31542.65,NA,NA,NA,NA,NA,NA,$31542.65,NA,$28388.39,$31542.65,$31542.65,NA,NA,NA,NA,NA,$36274.05,$31542.65,NA,NA,$31542.65,NA,$31542.65,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-D,NA,NA,$25805.85,$32974.14,NA,$28673.17,NA,$28673.17,NA,$27239.51,$27239.51,$27526.24,NA,NA,$28673.17,NA,$25805.85,NA,NA,$28673.17,NA,NA,NA,NA,NA,NA,$28673.17,NA,$25805.85,$28673.17,$28673.17,NA,NA,NA,NA,NA,$32974.14,$28673.17,NA,NA,$28673.17,NA,$28673.17,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-A,NA,NA,$25781.49,$32943.01,NA,$28646.10,NA,$28646.10,NA,$27213.79,$27213.79,$27500.25,NA,NA,$28646.10,NA,$25781.49,NA,NA,$28646.10,NA,NA,NA,NA,NA,NA,$28646.10,NA,$25781.49,$28646.10,$28646.10,NA,NA,NA,NA,NA,$32943.01,$28646.10,NA,NA,$28646.10,NA,$28646.10,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-B,NA,NA,$39707.68,$50737.59,NA,$44119.65,NA,$44119.65,NA,$41913.67,$41913.67,$42354.86,NA,NA,$44119.65,NA,$39707.68,NA,NA,$44119.65,NA,NA,NA,NA,NA,NA,$44119.65,NA,$39707.68,$44119.65,$44119.65,NA,NA,NA,NA,NA,$50737.59,$44119.65,NA,NA,$44119.65,NA,$44119.65,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-C,NA,NA,$31151.21,$39804.32,NA,$34612.46,NA,$34612.46,NA,$32881.83,$32881.83,$33227.96,NA,NA,$34612.46,NA,$31151.21,NA,NA,$34612.46,NA,NA,NA,NA,NA,NA,$34612.46,NA,$31151.21,$34612.46,$34612.46,NA,NA,NA,NA,NA,$39804.32,$34612.46,NA,NA,$34612.46,NA,$34612.46,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-D,NA,NA,$28316.92,$36182.73,NA,$31463.24,NA,$31463.24,NA,$29890.08,$29890.08,$30204.71,NA,NA,$31463.24,NA,$28316.92,NA,NA,$31463.24,NA,NA,NA,NA,NA,NA,$31463.24,NA,$28316.92,$31463.24,$31463.24,NA,NA,NA,NA,NA,$36182.73,$31463.24,NA,NA,$31463.24,NA,$31463.24,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-A,NA,NA,$13286.25,$16976.87,NA,$14762.50,NA,$14762.50,NA,$14024.37,$14024.37,$14172.00,NA,NA,$14762.50,NA,$13286.25,NA,NA,$14762.50,NA,NA,NA,NA,NA,NA,$14762.50,NA,$13286.25,$14762.50,$14762.50,NA,NA,NA,NA,NA,$16976.87,$14762.50,NA,NA,$14762.50,NA,$14762.50,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-B,NA,NA,$20109.66,$25695.67,NA,$22344.06,NA,$22344.06,NA,$21226.86,$21226.86,$21450.30,NA,NA,$22344.06,NA,$20109.66,NA,NA,$22344.06,NA,NA,NA,NA,NA,NA,$22344.06,NA,$20109.66,$22344.06,$22344.06,NA,NA,NA,NA,NA,$25695.67,$22344.06,NA,NA,$22344.06,NA,$22344.06,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-C,NA,NA,$15951.62,$20382.62,NA,$17724.02,NA,$17724.02,NA,$16837.82,$16837.82,$17015.06,NA,NA,$17724.02,NA,$15951.62,NA,NA,$17724.02,NA,NA,NA,NA,NA,NA,$17724.02,NA,$15951.62,$17724.02,$17724.02,NA,NA,NA,NA,NA,$20382.62,$17724.02,NA,NA,$17724.02,NA,$17724.02,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-D,NA,NA,$14325.76,$18305.13,NA,$15917.51,NA,$15917.51,NA,$15121.63,$15121.63,$15280.81,NA,NA,$15917.51,NA,$14325.76,NA,NA,$15917.51,NA,NA,NA,NA,NA,NA,$15917.51,NA,$14325.76,$15917.51,$15917.51,NA,NA,NA,NA,NA,$18305.13,$15917.51,NA,NA,$15917.51,NA,$15917.51,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-A,NA,NA,$16921.28,$21621.64,NA,$18801.43,NA,$18801.43,NA,$17861.36,$17861.36,$18049.37,NA,NA,$18801.43,NA,$16921.28,NA,NA,$18801.43,NA,NA,NA,NA,NA,NA,$18801.43,NA,$16921.28,$18801.43,$18801.43,NA,NA,NA,NA,NA,$21621.64,$18801.43,NA,NA,$18801.43,NA,$18801.43,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-B,NA,NA,$25609.32,$32723.02,NA,$28454.80,NA,$28454.80,NA,$27032.06,$27032.06,$27316.61,NA,NA,$28454.80,NA,$25609.32,NA,NA,$28454.80,NA,NA,NA,NA,NA,NA,$28454.80,NA,$25609.32,$28454.80,$28454.80,NA,NA,NA,NA,NA,$32723.02,$28454.80,NA,NA,$28454.80,NA,$28454.80,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-C,NA,NA,$20312.69,$25955.10,NA,$22569.65,NA,$22569.65,NA,$21441.17,$21441.17,$21666.87,NA,NA,$22569.65,NA,$20312.69,NA,NA,$22569.65,NA,NA,NA,NA,NA,NA,$22569.65,NA,$20312.69,$22569.65,$22569.65,NA,NA,NA,NA,NA,$25955.10,$22569.65,NA,NA,$22569.65,NA,$22569.65,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-D,NA,NA,$18243.41,$23311.03,NA,$20270.46,NA,$20270.46,NA,$19256.93,$19256.93,$19459.64,NA,NA,$20270.46,NA,$18243.41,NA,NA,$20270.46,NA,NA,NA,NA,NA,NA,$20270.46,NA,$18243.41,$20270.46,$20270.46,NA,NA,NA,NA,NA,$23311.03,$20270.46,NA,NA,$20270.46,NA,$20270.46,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-A,NA,NA,$20760.98,$26527.91,NA,$23067.75,NA,$23067.75,NA,$21914.36,$21914.36,$22145.04,NA,NA,$23067.75,NA,$20760.98,NA,NA,$23067.75,NA,NA,NA,NA,NA,NA,$23067.75,NA,$20760.98,$23067.75,$23067.75,NA,NA,NA,NA,NA,$26527.91,$23067.75,NA,NA,$23067.75,NA,$23067.75,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-B,NA,NA,$31420.83,$40148.84,NA,$34912.04,NA,$34912.04,NA,$33166.44,$33166.44,$33515.56,NA,NA,$34912.04,NA,$31420.83,NA,NA,$34912.04,NA,NA,NA,NA,NA,NA,$34912.04,NA,$31420.83,$34912.04,$34912.04,NA,NA,NA,NA,NA,$40148.84,$34912.04,NA,NA,$34912.04,NA,$34912.04,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-C,NA,NA,$24922.27,$31845.12,NA,$27691.41,NA,$27691.41,NA,$26306.84,$26306.84,$26583.75,NA,NA,$27691.41,NA,$24922.27,NA,NA,$27691.41,NA,NA,NA,NA,NA,NA,$27691.41,NA,$24922.27,$27691.41,$27691.41,NA,NA,NA,NA,NA,$31845.12,$27691.41,NA,NA,$27691.41,NA,$27691.41,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-D,NA,NA,$22383.59,$28601.25,NA,$24870.65,NA,$24870.65,NA,$23627.12,$23627.12,$23875.83,NA,NA,$24870.65,NA,$22383.59,NA,NA,$24870.65,NA,NA,NA,NA,NA,NA,$24870.65,NA,$22383.59,$24870.65,$24870.65,NA,NA,NA,NA,NA,$28601.25,$24870.65,NA,NA,$24870.65,NA,$24870.65,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-A,NA,NA,$23806.42,$30419.31,NA,$26451.58,NA,$26451.58,NA,$25129.00,$25129.00,$25393.51,NA,NA,$26451.58,NA,$23806.42,NA,NA,$26451.58,NA,NA,NA,NA,NA,NA,$26451.58,NA,$23806.42,$26451.58,$26451.58,NA,NA,NA,NA,NA,$30419.31,$26451.58,NA,NA,$26451.58,NA,$26451.58,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-B,NA,NA,$36030.41,$46038.86,NA,$40033.79,NA,$40033.79,NA,$38032.10,$38032.10,$38432.44,NA,NA,$40033.79,NA,$36030.41,NA,NA,$40033.79,NA,NA,NA,NA,NA,NA,$40033.79,NA,$36030.41,$40033.79,$40033.79,NA,NA,NA,NA,NA,$46038.86,$40033.79,NA,NA,$40033.79,NA,$40033.79,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-C,NA,NA,$28580.05,$36518.95,NA,$31755.61,NA,$31755.61,NA,$30167.83,$30167.83,$30485.38,NA,NA,$31755.61,NA,$28580.05,NA,NA,$31755.61,NA,NA,NA,NA,NA,NA,$31755.61,NA,$28580.05,$31755.61,$31755.61,NA,NA,NA,NA,NA,$36518.95,$31755.61,NA,NA,$31755.61,NA,$31755.61,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-D,NA,NA,$25667.79,$32797.73,NA,$28519.77,NA,$28519.77,NA,$27093.78,$27093.78,$27378.98,NA,NA,$28519.77,NA,$25667.79,NA,NA,$28519.77,NA,NA,NA,NA,NA,NA,$28519.77,NA,$25667.79,$28519.77,$28519.77,NA,NA,NA,NA,NA,$32797.73,$28519.77,NA,NA,$28519.77,NA,$28519.77,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-A,NA,NA,$28425.74,$36321.78,NA,$31584.16,NA,$31584.16,NA,$30004.95,$30004.95,$30320.79,NA,NA,$31584.16,NA,$28425.74,NA,NA,$31584.16,NA,NA,NA,NA,NA,NA,$31584.16,NA,$28425.74,$31584.16,$31584.16,NA,NA,NA,NA,NA,$36321.78,$31584.16,NA,NA,$31584.16,NA,$31584.16,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-B,NA,NA,$43021.12,$54971.43,NA,$47801.25,NA,$47801.25,NA,$45411.19,$45411.19,$45889.20,NA,NA,$47801.25,NA,$43021.12,NA,NA,$47801.25,NA,NA,NA,NA,NA,NA,$47801.25,NA,$43021.12,$47801.25,$47801.25,NA,NA,NA,NA,NA,$54971.43,$47801.25,NA,NA,$47801.25,NA,$47801.25,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-C,NA,NA,$34125.19,$43604.40,NA,$37916.87,NA,$37916.87,NA,$36021.03,$36021.03,$36400.20,NA,NA,$37916.87,NA,$34125.19,NA,NA,$37916.87,NA,NA,NA,NA,NA,NA,$37916.87,NA,$34125.19,$37916.87,$37916.87,NA,NA,NA,NA,NA,$43604.40,$37916.87,NA,NA,$37916.87,NA,$37916.87,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-D,NA,NA,$30647.70,$39160.95,NA,$34053.00,NA,$34053.00,NA,$32350.35,$32350.35,$32690.88,NA,NA,$34053.00,NA,$30647.70,NA,NA,$34053.00,NA,NA,NA,NA,NA,NA,$34053.00,NA,$30647.70,$34053.00,$34053.00,NA,NA,NA,NA,NA,$39160.95,$34053.00,NA,NA,$34053.00,NA,$34053.00,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-A,NA,NA,$36615.14,$46786.01,NA,$40683.49,NA,$40683.49,NA,$38649.31,$38649.31,$39056.15,NA,NA,$40683.49,NA,$36615.14,NA,NA,$40683.49,NA,NA,NA,NA,NA,NA,$40683.49,NA,$36615.14,$40683.49,$40683.49,NA,NA,NA,NA,NA,$46786.01,$40683.49,NA,NA,$40683.49,NA,$40683.49,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-B,NA,NA,$55417.29,$70810.98,NA,$61574.76,NA,$61574.76,NA,$58496.03,$58496.03,$59111.77,NA,NA,$61574.76,NA,$55417.29,NA,NA,$61574.76,NA,NA,NA,NA,NA,NA,$61574.76,NA,$55417.29,$61574.76,$61574.76,NA,NA,NA,NA,NA,$70810.98,$61574.76,NA,NA,$61574.76,NA,$61574.76,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-C,NA,NA,$43956.68,$56166.87,NA,$48840.76,NA,$48840.76,NA,$46398.72,$46398.72,$46887.13,NA,NA,$48840.76,NA,$43956.68,NA,NA,$48840.76,NA,NA,NA,NA,NA,NA,$48840.76,NA,$43956.68,$48840.76,$48840.76,NA,NA,NA,NA,NA,$56166.87,$48840.76,NA,NA,$48840.76,NA,$48840.76,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-D,NA,NA,$39477.04,$50442.89,NA,$43863.38,NA,$43863.38,NA,$41670.21,$41670.21,$42108.84,NA,NA,$43863.38,NA,$39477.04,NA,NA,$43863.38,NA,NA,NA,NA,NA,NA,$43863.38,NA,$39477.04,$43863.38,$43863.38,NA,NA,NA,NA,NA,$50442.89,$43863.38,NA,NA,$43863.38,NA,$43863.38,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-A,NA,NA,$14192.57,$18134.95,NA,$15769.52,NA,$15769.52,NA,$14981.04,$14981.04,$15138.74,NA,NA,$15769.52,NA,$14192.57,NA,NA,$15769.52,NA,NA,NA,NA,NA,NA,$15769.52,NA,$14192.57,$15769.52,$15769.52,NA,NA,NA,NA,NA,$18134.95,$15769.52,NA,NA,$15769.52,NA,$15769.52,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-B,NA,NA,$19541.18,$24969.28,NA,$21712.42,NA,$21712.42,NA,$20626.80,$20626.80,$20843.92,NA,NA,$21712.42,NA,$19541.18,NA,NA,$21712.42,NA,NA,NA,NA,NA,NA,$21712.42,NA,$19541.18,$21712.42,$21712.42,NA,NA,NA,NA,NA,$24969.28,$21712.42,NA,NA,$21712.42,NA,$21712.42,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-C,NA,NA,$15196.35,$19417.55,NA,$16884.83,NA,$16884.83,NA,$16040.59,$16040.59,$16209.44,NA,NA,$16884.83,NA,$15196.35,NA,NA,$16884.83,NA,NA,NA,NA,NA,NA,$16884.83,NA,$15196.35,$16884.83,$16884.83,NA,NA,NA,NA,NA,$19417.55,$16884.83,NA,NA,$16884.83,NA,$16884.83,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-D,NA,NA,$14985.20,$19147.75,NA,$16650.22,NA,$16650.22,NA,$15817.71,$15817.71,$15984.21,NA,NA,$16650.22,NA,$14985.20,NA,NA,$16650.22,NA,NA,NA,NA,NA,NA,$16650.22,NA,$14985.20,$16650.22,$16650.22,NA,NA,NA,NA,NA,$19147.75,$16650.22,NA,NA,$16650.22,NA,$16650.22,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-A,NA,NA,$19217.95,$24556.27,NA,$21353.28,NA,$21353.28,NA,$20285.62,$20285.62,$20499.15,NA,NA,$21353.28,NA,$19217.95,NA,NA,$21353.28,NA,NA,NA,NA,NA,NA,$21353.28,NA,$19217.95,$21353.28,$21353.28,NA,NA,NA,NA,NA,$24556.27,$21353.28,NA,NA,$21353.28,NA,$21353.28,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-B,NA,NA,$26462.04,$33812.61,NA,$29402.27,NA,$29402.27,NA,$27932.16,$27932.16,$28226.18,NA,NA,$29402.27,NA,$26462.04,NA,NA,$29402.27,NA,NA,NA,NA,NA,NA,$29402.27,NA,$26462.04,$29402.27,$29402.27,NA,NA,NA,NA,NA,$33812.61,$29402.27,NA,NA,$29402.27,NA,$29402.27,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-C,NA,NA,$20579.06,$26295.47,NA,$22865.63,NA,$22865.63,NA,$21722.34,$21722.34,$21951.00,NA,NA,$22865.63,NA,$20579.06,NA,NA,$22865.63,NA,NA,NA,NA,NA,NA,$22865.63,NA,$20579.06,$22865.63,$22865.63,NA,NA,NA,NA,NA,$26295.47,$22865.63,NA,NA,$22865.63,NA,$22865.63,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-D,NA,NA,$20291.57,$25928.12,NA,$22546.19,NA,$22546.19,NA,$21418.88,$21418.88,$21644.34,NA,NA,$22546.19,NA,$20291.57,NA,NA,$22546.19,NA,NA,NA,NA,NA,NA,$22546.19,NA,$20291.57,$22546.19,$22546.19,NA,NA,NA,NA,NA,$25928.12,$22546.19,NA,NA,$22546.19,NA,$22546.19,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-A,NA,NA,$30597.35,$39096.61,NA,$33997.05,NA,$33997.05,NA,$32297.20,$32297.20,$32637.17,NA,NA,$33997.05,NA,$30597.35,NA,NA,$33997.05,NA,NA,NA,NA,NA,NA,$33997.05,NA,$30597.35,$33997.05,$33997.05,NA,NA,NA,NA,NA,$39096.61,$33997.05,NA,NA,$33997.05,NA,$33997.05,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-B,NA,NA,$42131.04,$53834.11,NA,$46812.27,NA,$46812.27,NA,$44471.66,$44471.66,$44939.78,NA,NA,$46812.27,NA,$42131.04,NA,NA,$46812.27,NA,NA,NA,NA,NA,NA,$46812.27,NA,$42131.04,$46812.27,$46812.27,NA,NA,NA,NA,NA,$53834.11,$46812.27,NA,NA,$46812.27,NA,$46812.27,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-C,NA,NA,$32764.08,$41865.21,NA,$36404.53,NA,$36404.53,NA,$34584.30,$34584.30,$34948.35,NA,NA,$36404.53,NA,$32764.08,NA,NA,$36404.53,NA,NA,NA,NA,NA,NA,$36404.53,NA,$32764.08,$36404.53,$36404.53,NA,NA,NA,NA,NA,$41865.21,$36404.53,NA,NA,$36404.53,NA,$36404.53,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-D,NA,NA,$32306.04,$41279.94,NA,$35895.60,NA,$35895.60,NA,$34100.82,$34100.82,$34459.78,NA,NA,$35895.60,NA,$32306.04,NA,NA,$35895.60,NA,NA,NA,NA,NA,NA,$35895.60,NA,$32306.04,$35895.60,$35895.60,NA,NA,NA,NA,NA,$41279.94,$35895.60,NA,NA,$35895.60,NA,$35895.60,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-A,NA,NA,$45048.17,$57561.55,NA,$50053.52,NA,$50053.52,NA,$47550.84,$47550.84,$48051.38,NA,NA,$50053.52,NA,$45048.17,NA,NA,$50053.52,NA,NA,NA,NA,NA,NA,$50053.52,NA,$45048.17,$50053.52,$50053.52,NA,NA,NA,NA,NA,$57561.55,$50053.52,NA,NA,$50053.52,NA,$50053.52,NA,NA
