Encompass Health Rehabilitation Hospital of New England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALLWAYS HEALTH PART EXCH (ALLZ) negotiated charge,ALLWAYS HEALTH PART MCD (ALLD) negotiated charge,ALLWAYS HEALTH PARTNERS (ALL) negotiated charge,AMERICAS CHOICE PROV NET (ACPN) negotiated charge,BCBS OF MA (BCMA) negotiated charge,BCBS OF MA EXCHANGE (BMAZ) negotiated charge,BCBS OF MA MEDICARE (BMAM) negotiated charge,BCMA BLUE BENEFIT ADMIN (BCMB) negotiated charge,BMC HEALTH PLAN DUAL (BMCB) negotiated charge,BMC HEALTH PLAN MEDICAID (BMCD) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COMMONWEALTH ALLIANCE DUA (COM) negotiated charge,COMMONWEALTH CARE MEDICAR (COCM) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,FALLON (FAL) negotiated charge,FALLON EXCHANGE (FALZ) negotiated charge,FALLON MEDICAID (FALD) negotiated charge,FALLON MEDICARE (FALM) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,GMMI INC (GMI) negotiated charge,HARVARD PILGRIM (HPH) negotiated charge,HARVARD PILGRIM EXCHANGE (HPHZ) negotiated charge,HARVARD PILGRIM MEDICARE (HPIM) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK HEALTH COM CARES (NTHD) negotiated charge,NETWORK HEALTH EXCHANGE (NTHZ) negotiated charge,NETWORK HEALTH MEDICAID (NTH) negotiated charge,NETWORK HEATLH DUAL ELIG (NTHB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,SENIOR WHOLE HEALTH MCR (WHSM) negotiated charge,TUFTS (TFT) negotiated charge,TUFTS MEDICARE (TFTS) negotiated charge,UNICARE (UNC) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,UNITED HEALTHCARE VA CCN (UHV) negotiated charge,WELLSENSE MEDICARE (WLSM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-D,NA,NA,$27718.44,$35418.01,NA,$30798.27,NA,NA,NA,NA,NA,NA,NA,NA,$30798.27,NA,NA,NA,$30798.27,NA,$27718.44,$27718.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30798.27,$30798.27,NA,NA,NA,NA,$30798.27,NA,$35418.01,$30798.27,$30798.27,NA,NA,NA,NA,$27718.44,$30798.27,$30798.27,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-A,NA,NA,$13884.30,$17741.05,NA,$15427.00,NA,NA,NA,NA,NA,NA,NA,NA,$15427.00,NA,NA,NA,$15427.00,NA,$13884.30,$13884.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15427.00,$15427.00,NA,NA,NA,NA,$15427.00,NA,$17741.05,$15427.00,$15427.00,NA,NA,NA,NA,$13884.30,$15427.00,$15427.00,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-B,NA,NA,$17102.87,$21853.67,NA,$19003.19,NA,NA,NA,NA,NA,NA,NA,NA,$19003.19,NA,NA,NA,$19003.19,NA,$17102.87,$17102.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19003.19,$19003.19,NA,NA,NA,NA,$19003.19,NA,$21853.67,$19003.19,$19003.19,NA,NA,NA,NA,$17102.87,$19003.19,$19003.19,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-C,NA,NA,$17102.87,$21853.67,NA,$19003.19,NA,NA,NA,NA,NA,NA,NA,NA,$19003.19,NA,NA,NA,$19003.19,NA,$17102.87,$17102.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19003.19,$19003.19,NA,NA,NA,NA,$19003.19,NA,$21853.67,$19003.19,$19003.19,NA,NA,NA,NA,$17102.87,$19003.19,$19003.19,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-D,NA,NA,$15425.27,$19710.07,NA,$17139.19,NA,NA,NA,NA,NA,NA,NA,NA,$17139.19,NA,NA,NA,$17139.19,NA,$15425.27,$15425.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17139.19,$17139.19,NA,NA,NA,NA,$17139.19,NA,$19710.07,$17139.19,$17139.19,NA,NA,NA,NA,$15425.27,$17139.19,$17139.19,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-A,NA,NA,$15551.52,$19871.39,NA,$17279.47,NA,NA,NA,NA,NA,NA,NA,NA,$17279.47,NA,NA,NA,$17279.47,NA,$15551.52,$15551.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17279.47,$17279.47,NA,NA,NA,NA,$17279.47,NA,$19871.39,$17279.47,$17279.47,NA,NA,NA,NA,$15551.52,$17279.47,$17279.47,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-B,NA,NA,$19159.22,$24481.23,NA,$21288.03,NA,NA,NA,NA,NA,NA,NA,NA,$21288.03,NA,NA,NA,$21288.03,NA,$19159.22,$19159.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21288.03,$21288.03,NA,NA,NA,NA,$21288.03,NA,$24481.23,$21288.03,$21288.03,NA,NA,NA,NA,$19159.22,$21288.03,$21288.03,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-C,NA,NA,$19159.22,$24481.23,NA,$21288.03,NA,NA,NA,NA,NA,NA,NA,NA,$21288.03,NA,NA,NA,$21288.03,NA,$19159.22,$19159.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21288.03,$21288.03,NA,NA,NA,NA,$21288.03,NA,$24481.23,$21288.03,$21288.03,NA,NA,NA,NA,$19159.22,$21288.03,$21288.03,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-D,NA,NA,$17279.28,$22079.07,NA,$19199.20,NA,NA,NA,NA,NA,NA,NA,NA,$19199.20,NA,NA,NA,$19199.20,NA,$17279.28,$17279.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19199.20,$19199.20,NA,NA,NA,NA,$19199.20,NA,$22079.07,$19199.20,$19199.20,NA,NA,NA,NA,$17279.28,$19199.20,$19199.20,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-A,NA,NA,$19005.30,$24284.55,NA,$21117.00,NA,NA,NA,NA,NA,NA,NA,NA,$21117.00,NA,NA,NA,$21117.00,NA,$19005.30,$19005.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21117.00,$21117.00,NA,NA,NA,NA,$21117.00,NA,$24284.55,$21117.00,$21117.00,NA,NA,NA,NA,$19005.30,$21117.00,$21117.00,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-B,NA,NA,$23413.76,$29917.58,NA,$26015.28,NA,NA,NA,NA,NA,NA,NA,NA,$26015.28,NA,NA,NA,$26015.28,NA,$23413.76,$23413.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26015.28,$26015.28,NA,NA,NA,NA,$26015.28,NA,$29917.58,$26015.28,$26015.28,NA,NA,NA,NA,$23413.76,$26015.28,$26015.28,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-C,NA,NA,$23413.76,$29917.58,NA,$26015.28,NA,NA,NA,NA,NA,NA,NA,NA,$26015.28,NA,NA,NA,$26015.28,NA,$23413.76,$23413.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26015.28,$26015.28,NA,NA,NA,NA,$26015.28,NA,$29917.58,$26015.28,$26015.28,NA,NA,NA,NA,$23413.76,$26015.28,$26015.28,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-D,NA,NA,$21115.27,$26980.62,NA,$23461.41,NA,NA,NA,NA,NA,NA,NA,NA,$23461.41,NA,NA,NA,$23461.41,NA,$21115.27,$21115.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23461.41,$23461.41,NA,NA,NA,NA,$23461.41,NA,$26980.62,$23461.41,$23461.41,NA,NA,NA,NA,$21115.27,$23461.41,$23461.41,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-A,NA,NA,$24148.79,$30856.78,NA,$26831.98,NA,NA,NA,NA,NA,NA,NA,NA,$26831.98,NA,NA,NA,$26831.98,NA,$24148.79,$24148.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26831.98,$26831.98,NA,NA,NA,NA,$26831.98,NA,$30856.78,$26831.98,$26831.98,NA,NA,NA,NA,$24148.79,$26831.98,$26831.98,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-B,NA,NA,$29748.86,$38012.43,NA,$33054.28,NA,NA,NA,NA,NA,NA,NA,NA,$33054.28,NA,NA,NA,$33054.28,NA,$29748.86,$29748.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33054.28,$33054.28,NA,NA,NA,NA,$33054.28,NA,$38012.43,$33054.28,$33054.28,NA,NA,NA,NA,$29748.86,$33054.28,$33054.28,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-C,NA,NA,$29748.86,$38012.43,NA,$33054.28,NA,NA,NA,NA,NA,NA,NA,NA,$33054.28,NA,NA,NA,$33054.28,NA,$29748.86,$29748.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33054.28,$33054.28,NA,NA,NA,NA,$33054.28,NA,$38012.43,$33054.28,$33054.28,NA,NA,NA,NA,$29748.86,$33054.28,$33054.28,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-D,NA,NA,$26829.49,$34282.12,NA,$29810.54,NA,NA,NA,NA,NA,NA,NA,NA,$29810.54,NA,NA,NA,$29810.54,NA,$26829.49,$26829.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29810.54,$29810.54,NA,NA,NA,NA,$29810.54,NA,$34282.12,$29810.54,$29810.54,NA,NA,NA,NA,$26829.49,$29810.54,$29810.54,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-A,NA,NA,$15620.70,$19959.78,NA,$17356.33,NA,NA,NA,NA,NA,NA,NA,NA,$17356.33,NA,NA,NA,$17356.33,NA,$15620.70,$15620.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17356.33,$17356.33,NA,NA,NA,NA,$17356.33,NA,$19959.78,$17356.33,$17356.33,NA,NA,NA,NA,$15620.70,$17356.33,$17356.33,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-B,NA,NA,$24057.12,$30739.66,NA,$26730.14,NA,NA,NA,NA,NA,NA,NA,NA,$26730.14,NA,NA,NA,$26730.14,NA,$24057.12,$24057.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26730.14,$26730.14,NA,NA,NA,NA,$26730.14,NA,$30739.66,$26730.14,$26730.14,NA,NA,NA,NA,$24057.12,$26730.14,$26730.14,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-C,NA,NA,$18872.13,$24114.39,NA,$20969.03,NA,NA,NA,NA,NA,NA,NA,NA,$20969.03,NA,NA,NA,$20969.03,NA,$18872.13,$18872.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20969.03,$20969.03,NA,NA,NA,NA,$20969.03,NA,$24114.39,$20969.03,$20969.03,NA,NA,NA,NA,$18872.13,$20969.03,$20969.03,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-D,NA,NA,$17154.75,$21919.96,NA,$19060.84,NA,NA,NA,NA,NA,NA,NA,NA,$19060.84,NA,NA,NA,$19060.84,NA,$17154.75,$17154.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19060.84,$19060.84,NA,NA,NA,NA,$19060.84,NA,$21919.96,$19060.84,$19060.84,NA,NA,NA,NA,$17154.75,$19060.84,$19060.84,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-A,NA,NA,$19077.94,$24377.37,NA,$21197.71,NA,NA,NA,NA,NA,NA,NA,NA,$21197.71,NA,NA,NA,$21197.71,NA,$19077.94,$19077.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21197.71,$21197.71,NA,NA,NA,NA,$21197.71,NA,$24377.37,$21197.71,$21197.71,NA,NA,NA,NA,$19077.94,$21197.71,$21197.71,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-B,NA,NA,$29380.48,$37541.72,NA,$32644.97,NA,NA,NA,NA,NA,NA,NA,NA,$32644.97,NA,NA,NA,$32644.97,NA,$29380.48,$29380.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32644.97,$32644.97,NA,NA,NA,NA,$32644.97,NA,$37541.72,$32644.97,$32644.97,NA,NA,NA,NA,$29380.48,$32644.97,$32644.97,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-C,NA,NA,$23050.56,$29453.50,NA,$25611.74,NA,NA,NA,NA,NA,NA,NA,NA,$25611.74,NA,NA,NA,$25611.74,NA,$23050.56,$23050.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25611.74,$25611.74,NA,NA,NA,NA,$25611.74,NA,$29453.50,$25611.74,$25611.74,NA,NA,NA,NA,$23050.56,$25611.74,$25611.74,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-D,NA,NA,$20952.70,$26772.89,NA,$23280.78,NA,NA,NA,NA,NA,NA,NA,NA,$23280.78,NA,NA,NA,$23280.78,NA,$20952.70,$20952.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23280.78,$23280.78,NA,NA,NA,NA,$23280.78,NA,$26772.89,$23280.78,$23280.78,NA,NA,NA,NA,$20952.70,$23280.78,$23280.78,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-A,NA,NA,$22616.46,$28898.81,NA,$25129.40,NA,NA,NA,NA,NA,NA,NA,NA,$25129.40,NA,NA,NA,$25129.40,NA,$22616.46,$22616.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25129.40,$25129.40,NA,NA,NA,NA,$25129.40,NA,$28898.81,$25129.40,$25129.40,NA,NA,NA,NA,$22616.46,$25129.40,$25129.40,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-B,NA,NA,$34831.81,$44507.31,NA,$38702.01,NA,NA,NA,NA,NA,NA,NA,NA,$38702.01,NA,NA,NA,$38702.01,NA,$34831.81,$34831.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38702.01,$38702.01,NA,NA,NA,NA,$38702.01,NA,$44507.31,$38702.01,$38702.01,NA,NA,NA,NA,$34831.81,$38702.01,$38702.01,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-C,NA,NA,$27324.12,$34914.15,NA,$30360.13,NA,NA,NA,NA,NA,NA,NA,NA,$30360.13,NA,NA,NA,$30360.13,NA,$27324.12,$27324.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30360.13,$30360.13,NA,NA,NA,NA,$30360.13,NA,$34914.15,$30360.13,$30360.13,NA,NA,NA,NA,$27324.12,$30360.13,$30360.13,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-D,NA,NA,$24838.85,$31738.53,NA,$27598.72,NA,NA,NA,NA,NA,NA,NA,NA,$27598.72,NA,NA,NA,$27598.72,NA,$24838.85,$24838.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27598.72,$27598.72,NA,NA,NA,NA,$27598.72,NA,$31738.53,$27598.72,$27598.72,NA,NA,NA,NA,$24838.85,$27598.72,$27598.72,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-A,NA,NA,$25018.72,$31968.36,NA,$27798.57,NA,NA,NA,NA,NA,NA,NA,NA,$27798.57,NA,NA,NA,$27798.57,NA,$25018.72,$25018.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27798.57,$27798.57,NA,NA,NA,NA,$27798.57,NA,$31968.36,$27798.57,$27798.57,NA,NA,NA,NA,$25018.72,$27798.57,$27798.57,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-B,NA,NA,$38531.18,$49234.28,NA,$42812.42,NA,NA,NA,NA,NA,NA,NA,NA,$42812.42,NA,NA,NA,$42812.42,NA,$38531.18,$38531.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42812.42,$42812.42,NA,NA,NA,NA,$42812.42,NA,$49234.28,$42812.42,$42812.42,NA,NA,NA,NA,$38531.18,$42812.42,$42812.42,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-C,NA,NA,$30227.92,$38624.57,NA,$33586.58,NA,NA,NA,NA,NA,NA,NA,NA,$33586.58,NA,NA,NA,$33586.58,NA,$30227.92,$30227.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33586.58,$33586.58,NA,NA,NA,NA,$33586.58,NA,$38624.57,$33586.58,$33586.58,NA,NA,NA,NA,$30227.92,$33586.58,$33586.58,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-D,NA,NA,$27478.04,$35110.83,NA,$30531.16,NA,NA,NA,NA,NA,NA,NA,NA,$30531.16,NA,NA,NA,$30531.16,NA,$27478.04,$27478.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30531.16,$30531.16,NA,NA,NA,NA,$30531.16,NA,$35110.83,$30531.16,$30531.16,NA,NA,NA,NA,$27478.04,$30531.16,$30531.16,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-A,NA,NA,$27452.10,$35077.68,NA,$30502.33,NA,NA,NA,NA,NA,NA,NA,NA,$30502.33,NA,NA,NA,$30502.33,NA,$27452.10,$27452.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30502.33,$30502.33,NA,NA,NA,NA,$30502.33,NA,$35077.68,$30502.33,$30502.33,NA,NA,NA,NA,$27452.10,$30502.33,$30502.33,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-B,NA,NA,$42280.70,$54025.34,NA,$46978.55,NA,NA,NA,NA,NA,NA,NA,NA,$46978.55,NA,NA,NA,$46978.55,NA,$42280.70,$42280.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46978.55,$46978.55,NA,NA,NA,NA,$46978.55,NA,$54025.34,$46978.55,$46978.55,NA,NA,NA,NA,$42280.70,$46978.55,$46978.55,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-C,NA,NA,$33169.78,$42383.60,NA,$36855.31,NA,NA,NA,NA,NA,NA,NA,NA,$36855.31,NA,NA,NA,$36855.31,NA,$33169.78,$33169.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36855.31,$36855.31,NA,NA,NA,NA,$36855.31,NA,$42383.60,$36855.31,$36855.31,NA,NA,NA,NA,$33169.78,$36855.31,$36855.31,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1705-D,NA,NA,$30151.83,$38527.33,NA,$33502.03,NA,NA,NA,NA,NA,NA,NA,NA,$33502.03,NA,NA,NA,$33502.03,NA,$30151.83,$30151.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33502.03,$33502.03,NA,NA,NA,NA,$33502.03,NA,$38527.33,$33502.03,$33502.03,NA,NA,NA,NA,$30151.83,$33502.03,$33502.03,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-A,NA,NA,$14147.18,$18076.95,NA,$15719.09,NA,NA,NA,NA,NA,NA,NA,NA,$15719.09,NA,NA,NA,$15719.09,NA,$14147.18,$14147.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15719.09,$15719.09,NA,NA,NA,NA,$15719.09,NA,$18076.95,$15719.09,$15719.09,NA,NA,NA,NA,$14147.18,$15719.09,$15719.09,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-B,NA,NA,$21412.74,$27360.73,NA,$23791.94,NA,NA,NA,NA,NA,NA,NA,NA,$23791.94,NA,NA,NA,$23791.94,NA,$21412.74,$21412.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23791.94,$23791.94,NA,NA,NA,NA,$23791.94,NA,$27360.73,$23791.94,$23791.94,NA,NA,NA,NA,$21412.74,$23791.94,$23791.94,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-C,NA,NA,$16985.26,$21703.39,NA,$18872.51,NA,NA,NA,NA,NA,NA,NA,NA,$18872.51,NA,NA,NA,$18872.51,NA,$16985.26,$16985.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18872.51,$18872.51,NA,NA,NA,NA,$18872.51,NA,$21703.39,$18872.51,$18872.51,NA,NA,NA,NA,$16985.26,$18872.51,$18872.51,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1801-D,NA,NA,$15254.05,$19491.29,NA,$16948.94,NA,NA,NA,NA,NA,NA,NA,NA,$16948.94,NA,NA,NA,$16948.94,NA,$15254.05,$15254.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16948.94,$16948.94,NA,NA,NA,NA,$16948.94,NA,$19491.29,$16948.94,$16948.94,NA,NA,NA,NA,$15254.05,$16948.94,$16948.94,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-A,NA,NA,$18017.77,$23022.70,NA,$20019.74,NA,NA,NA,NA,NA,NA,NA,NA,$20019.74,NA,NA,NA,$20019.74,NA,$18017.77,$18017.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20019.74,$20019.74,NA,NA,NA,NA,$20019.74,NA,$23022.70,$20019.74,$20019.74,NA,NA,NA,NA,$18017.77,$20019.74,$20019.74,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-B,NA,NA,$27268.78,$34843.44,NA,$30298.64,NA,NA,NA,NA,NA,NA,NA,NA,$30298.64,NA,NA,NA,$30298.64,NA,$27268.78,$27268.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30298.64,$30298.64,NA,NA,NA,NA,$30298.64,NA,$34843.44,$30298.64,$30298.64,NA,NA,NA,NA,$27268.78,$30298.64,$30298.64,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-C,NA,NA,$21628.93,$27636.96,NA,$24032.14,NA,NA,NA,NA,NA,NA,NA,NA,$24032.14,NA,NA,NA,$24032.14,NA,$21628.93,$21628.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24032.14,$24032.14,NA,NA,NA,NA,$24032.14,NA,$27636.96,$24032.14,$24032.14,NA,NA,NA,NA,$21628.93,$24032.14,$24032.14,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1802-D,NA,NA,$19425.57,$24821.56,NA,$21583.96,NA,NA,NA,NA,NA,NA,NA,NA,$21583.96,NA,NA,NA,$21583.96,NA,$19425.57,$19425.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21583.96,$21583.96,NA,NA,NA,NA,$21583.96,NA,$24821.56,$21583.96,$21583.96,NA,NA,NA,NA,$19425.57,$21583.96,$21583.96,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-A,NA,NA,$22106.27,$28246.90,NA,$24562.52,NA,NA,NA,NA,NA,NA,NA,NA,$24562.52,NA,NA,NA,$24562.52,NA,$22106.27,$22106.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24562.52,$24562.52,NA,NA,NA,NA,$24562.52,NA,$28246.90,$24562.52,$24562.52,NA,NA,NA,NA,$22106.27,$24562.52,$24562.52,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-B,NA,NA,$33456.87,$42750.44,NA,$37174.30,NA,NA,NA,NA,NA,NA,NA,NA,$37174.30,NA,NA,NA,$37174.30,NA,$33456.87,$33456.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37174.30,$37174.30,NA,NA,NA,NA,$37174.30,NA,$42750.44,$37174.30,$37174.30,NA,NA,NA,NA,$33456.87,$37174.30,$37174.30,NA,NA
