Encompass Health Rehabilitation Hospital of Sunrise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH MEDICARE (AVMM) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICAID (HUMD) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,INTEGRA GROUP WC (INTW) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VISTA HEALTH PLAN (VIS) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-A,NA,NA,$20150.57,$24392.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21211.13,NA,NA,NA,NA,NA,NA,NA,$21211.13,NA,NA,NA,NA,NA,NA,NA,$21211.13,NA,NA,$24392.80,$21211.13,NA,$21211.13,$21211.13,NA,$20150.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-B,NA,NA,$30497.01,$36917.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32102.12,NA,NA,NA,NA,NA,NA,NA,$32102.12,NA,NA,NA,NA,NA,NA,NA,$32102.12,NA,NA,$36917.44,$32102.12,NA,$32102.12,$32102.12,NA,$30497.01,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-C,NA,NA,$24189.51,$29282.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25462.65,NA,NA,NA,NA,NA,NA,NA,$25462.65,NA,NA,NA,NA,NA,NA,NA,$25462.65,NA,NA,$29282.04,$25462.65,NA,$25462.65,$25462.65,NA,$24189.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1803-D,NA,NA,$21725.48,$26299.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22868.92,NA,NA,NA,NA,NA,NA,NA,$22868.92,NA,NA,NA,NA,NA,NA,NA,$22868.92,NA,NA,$26299.26,$22868.92,NA,$22868.92,$22868.92,NA,$21725.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-A,NA,NA,$23106.47,$27970.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24322.60,NA,NA,NA,NA,NA,NA,NA,$24322.60,NA,NA,NA,NA,NA,NA,NA,$24322.60,NA,NA,$27970.99,$24322.60,NA,$24322.60,$24322.60,NA,$23106.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-B,NA,NA,$34971.06,$42333.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36811.65,NA,NA,NA,NA,NA,NA,NA,$36811.65,NA,NA,NA,NA,NA,NA,NA,$36811.65,NA,NA,$42333.39,$36811.65,NA,$36811.65,$36811.65,NA,$34971.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-C,NA,NA,$27739.75,$33579.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29199.73,NA,NA,NA,NA,NA,NA,NA,$29199.73,NA,NA,NA,NA,NA,NA,NA,$29199.73,NA,NA,$33579.70,$29199.73,NA,$29199.73,$29199.73,NA,$27739.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1804-D,NA,NA,$24913.12,$30157.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26224.34,NA,NA,NA,NA,NA,NA,NA,$26224.34,NA,NA,NA,NA,NA,NA,NA,$26224.34,NA,NA,$30157.99,$26224.34,NA,$26224.34,$26224.34,NA,$24913.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-A,NA,NA,$27589.98,$33398.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29042.09,NA,NA,NA,NA,NA,NA,NA,$29042.09,NA,NA,NA,NA,NA,NA,NA,$29042.09,NA,NA,$33398.40,$29042.09,NA,$29042.09,$29042.09,NA,$27589.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-B,NA,NA,$41756.24,$50547.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43953.93,NA,NA,NA,NA,NA,NA,NA,$43953.93,NA,NA,NA,NA,NA,NA,NA,$43953.93,NA,NA,$50547.02,$43953.93,NA,$43953.93,$43953.93,NA,$41756.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-C,NA,NA,$33121.85,$40094.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34865.11,NA,NA,NA,NA,NA,NA,NA,$34865.11,NA,NA,NA,NA,NA,NA,NA,$34865.11,NA,NA,$40094.87,$34865.11,NA,$34865.11,$34865.11,NA,$33121.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1805-D,NA,NA,$29746.61,$36009.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31312.22,NA,NA,NA,NA,NA,NA,NA,$31312.22,NA,NA,NA,NA,NA,NA,NA,$31312.22,NA,NA,$36009.05,$31312.22,NA,$31312.22,$31312.22,NA,$29746.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-A,NA,NA,$35538.60,$43020.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37409.05,NA,NA,NA,NA,NA,NA,NA,$37409.05,NA,NA,NA,NA,NA,NA,NA,$37409.05,NA,NA,$43020.41,$37409.05,NA,$37409.05,$37409.05,NA,$35538.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-B,NA,NA,$53787.93,$65111.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$56618.88,NA,NA,NA,NA,NA,NA,NA,$56618.88,NA,NA,NA,NA,NA,NA,NA,$56618.88,NA,NA,$65111.71,$56618.88,NA,$56618.88,$56618.88,NA,$53787.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-C,NA,NA,$42664.29,$51646.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44909.78,NA,NA,NA,NA,NA,NA,NA,$44909.78,NA,NA,NA,NA,NA,NA,NA,$44909.78,NA,NA,$51646.24,$44909.78,NA,$44909.78,$44909.78,NA,$42664.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Major Mult. Trauma with brain or spinal cord inj.,CMG 1806-D,NA,NA,$38316.35,$46382.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40333.01,NA,NA,NA,NA,NA,NA,NA,$40333.01,NA,NA,NA,NA,NA,NA,NA,$40333.01,NA,NA,$46382.96,$40333.01,NA,$40333.01,$40333.01,NA,$38316.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-A,NA,NA,$13775.29,$16675.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14500.30,NA,NA,NA,NA,NA,NA,NA,$14500.30,NA,NA,NA,NA,NA,NA,NA,$14500.30,NA,NA,$16675.35,$14500.30,NA,$14500.30,$14500.30,NA,$13775.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-B,NA,NA,$18966.64,$22959.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19964.88,NA,NA,NA,NA,NA,NA,NA,$19964.88,NA,NA,NA,NA,NA,NA,NA,$19964.88,NA,NA,$22959.61,$19964.88,NA,$19964.88,$19964.88,NA,$18966.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-C,NA,NA,$14749.55,$17854.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15525.84,NA,NA,NA,NA,NA,NA,NA,$15525.84,NA,NA,NA,NA,NA,NA,NA,$15525.84,NA,NA,$17854.72,$15525.84,NA,$15525.84,$15525.84,NA,$14749.55,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1901-D,NA,NA,$14544.61,$17606.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15310.11,NA,NA,NA,NA,NA,NA,NA,$15310.11,NA,NA,NA,NA,NA,NA,NA,$15310.11,NA,NA,$17606.63,$15310.11,NA,$15310.11,$15310.11,NA,$14544.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-A,NA,NA,$18652.92,$22579.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19634.65,NA,NA,NA,NA,NA,NA,NA,$19634.65,NA,NA,NA,NA,NA,NA,NA,$19634.65,NA,NA,$22579.85,$19634.65,NA,$19634.65,$19634.65,NA,$18652.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-B,NA,NA,$25684.02,$31091.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27035.81,NA,NA,NA,NA,NA,NA,NA,$27035.81,NA,NA,NA,NA,NA,NA,NA,$27035.81,NA,NA,$31091.18,$27035.81,NA,$27035.81,$27035.81,NA,$25684.02,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-C,NA,NA,$19974.01,$24179.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21025.27,NA,NA,NA,NA,NA,NA,NA,$21025.27,NA,NA,NA,NA,NA,NA,NA,$21025.27,NA,NA,$24179.06,$21025.27,NA,$21025.27,$21025.27,NA,$19974.01,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1902-D,NA,NA,$19694.97,$23841.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20731.55,NA,NA,NA,NA,NA,NA,NA,$20731.55,NA,NA,NA,NA,NA,NA,NA,$20731.55,NA,NA,$23841.28,$20731.55,NA,$20731.55,$20731.55,NA,$19694.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-A,NA,NA,$29697.74,$35949.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31260.78,NA,NA,NA,NA,NA,NA,NA,$31260.78,NA,NA,NA,NA,NA,NA,NA,$31260.78,NA,NA,$35949.89,$31260.78,NA,$31260.78,$31260.78,NA,$29697.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-B,NA,NA,$40892.32,$49501.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43044.55,NA,NA,NA,NA,NA,NA,NA,$43044.55,NA,NA,NA,NA,NA,NA,NA,$43044.55,NA,NA,$49501.23,$43044.55,NA,$43044.55,$43044.55,NA,$40892.32,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-C,NA,NA,$31800.76,$38495.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33474.49,NA,NA,NA,NA,NA,NA,NA,$33474.49,NA,NA,NA,NA,NA,NA,NA,$33474.49,NA,NA,$38495.66,$33474.49,NA,$33474.49,$33474.49,NA,$31800.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1903-D,NA,NA,$31356.19,$37957.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33006.52,NA,NA,NA,NA,NA,NA,NA,$33006.52,NA,NA,NA,NA,NA,NA,NA,$33006.52,NA,NA,$37957.50,$33006.52,NA,$33006.52,$33006.52,NA,$31356.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-A,NA,NA,$43723.68,$52928.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46024.93,NA,NA,NA,NA,NA,NA,NA,$46024.93,NA,NA,NA,NA,NA,NA,NA,$46024.93,NA,NA,$52928.67,$46024.93,NA,$46024.93,$46024.93,NA,$43723.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-B,NA,NA,$60204.21,$72878.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$63372.85,NA,NA,NA,NA,NA,NA,NA,$63372.85,NA,NA,NA,NA,NA,NA,NA,$63372.85,NA,NA,$72878.78,$63372.85,NA,$63372.85,$63372.85,NA,$60204.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-C,NA,NA,$46819.89,$56676.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49284.09,NA,NA,NA,NA,NA,NA,NA,$49284.09,NA,NA,NA,NA,NA,NA,NA,$49284.09,NA,NA,$56676.71,$49284.09,NA,$49284.09,$49284.09,NA,$46819.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Guillian-Barre,CMG 1904-D,NA,NA,$46165.65,$55884.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48595.42,NA,NA,NA,NA,NA,NA,NA,$48595.42,NA,NA,NA,NA,NA,NA,NA,$48595.42,NA,NA,$55884.73,$48595.42,NA,$48595.42,$48595.42,NA,$46165.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-A,NA,NA,$13056.41,$15805.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13743.59,NA,NA,NA,NA,NA,NA,NA,$13743.59,NA,NA,NA,NA,NA,NA,NA,$13743.59,NA,NA,$15805.13,$13743.59,NA,$13743.59,$13743.59,NA,$13056.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-B,NA,NA,$19103.79,$23125.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20109.25,NA,NA,NA,NA,NA,NA,NA,$20109.25,NA,NA,NA,NA,NA,NA,NA,$20109.25,NA,NA,$23125.64,$20109.25,NA,$20109.25,$20109.25,NA,$19103.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-C,NA,NA,$15501.53,$18765.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16317.40,NA,NA,NA,NA,NA,NA,NA,$16317.40,NA,NA,NA,NA,NA,NA,NA,$16317.40,NA,NA,$18765.01,$16317.40,NA,$16317.40,$16317.40,NA,$15501.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2001-D,NA,NA,$14196.21,$17184.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14943.37,NA,NA,NA,NA,NA,NA,NA,$14943.37,NA,NA,NA,NA,NA,NA,NA,$14943.37,NA,NA,$17184.88,$14943.37,NA,$14943.37,$14943.37,NA,$14196.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-A,NA,NA,$16051.72,$19431.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16896.55,NA,NA,NA,NA,NA,NA,NA,$16896.55,NA,NA,NA,NA,NA,NA,NA,$16896.55,NA,NA,$19431.03,$16896.55,NA,$16896.55,$16896.55,NA,$16051.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-B,NA,NA,$23487.98,$28432.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24724.19,NA,NA,NA,NA,NA,NA,NA,$24724.19,NA,NA,NA,NA,NA,NA,NA,$24724.19,NA,NA,$28432.82,$24724.19,NA,$24724.19,$24724.19,NA,$23487.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-C,NA,NA,$19059.65,$23072.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20062.79,NA,NA,NA,NA,NA,NA,NA,$20062.79,NA,NA,NA,NA,NA,NA,NA,$20062.79,NA,NA,$23072.20,$20062.79,NA,$20062.79,$20062.79,NA,$19059.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2002-D,NA,NA,$17454.79,$21129.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18373.46,NA,NA,NA,NA,NA,NA,NA,$18373.46,NA,NA,NA,NA,NA,NA,NA,$18373.46,NA,NA,$21129.48,$18373.46,NA,$18373.46,$18373.46,NA,$17454.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-A,NA,NA,$18999.74,$22999.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19999.73,NA,NA,NA,NA,NA,NA,NA,$19999.73,NA,NA,NA,NA,NA,NA,NA,$19999.73,NA,NA,$22999.69,$19999.73,NA,$19999.73,$19999.73,NA,$18999.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-B,NA,NA,$27799.65,$33652.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29262.79,NA,NA,NA,NA,NA,NA,NA,$29262.79,NA,NA,NA,NA,NA,NA,NA,$29262.79,NA,NA,$33652.21,$29262.79,NA,$29262.79,$29262.79,NA,$27799.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-C,NA,NA,$22557.86,$27306.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23745.11,NA,NA,NA,NA,NA,NA,NA,$23745.11,NA,NA,NA,NA,NA,NA,NA,$23745.11,NA,NA,$27306.88,$23745.11,NA,$23745.11,$23745.11,NA,$22557.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2003-D,NA,NA,$20659.77,$25009.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21747.13,NA,NA,NA,NA,NA,NA,NA,$21747.13,NA,NA,NA,NA,NA,NA,NA,$21747.13,NA,NA,$25009.20,$21747.13,NA,$21747.13,$21747.13,NA,$20659.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-A,NA,NA,$21383.38,$25885.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22508.82,NA,NA,NA,NA,NA,NA,NA,$22508.82,NA,NA,NA,NA,NA,NA,NA,$22508.82,NA,NA,$25885.14,$22508.82,NA,$22508.82,$22508.82,NA,$21383.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-B,NA,NA,$31288.41,$37875.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32935.16,NA,NA,NA,NA,NA,NA,NA,$32935.16,NA,NA,NA,NA,NA,NA,NA,$32935.16,NA,NA,$37875.44,$32935.16,NA,$32935.16,$32935.16,NA,$31288.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-C,NA,NA,$25387.64,$30732.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26723.83,NA,NA,NA,NA,NA,NA,NA,$26723.83,NA,NA,NA,NA,NA,NA,NA,$26723.83,NA,NA,$30732.41,$26723.83,NA,$26723.83,$26723.83,NA,$25387.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2004-D,NA,NA,$23251.51,$28146.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24475.27,NA,NA,NA,NA,NA,NA,NA,$24475.27,NA,NA,NA,NA,NA,NA,NA,$24475.27,NA,NA,$28146.56,$24475.27,NA,$24475.27,$24475.27,NA,$23251.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-A,NA,NA,$22989.81,$27829.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24199.80,NA,NA,NA,NA,NA,NA,NA,$24199.80,NA,NA,NA,NA,NA,NA,NA,$24199.80,NA,NA,$27829.77,$24199.80,NA,$24199.80,$24199.80,NA,$22989.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-B,NA,NA,$33638.94,$40720.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35409.41,NA,NA,NA,NA,NA,NA,NA,$35409.41,NA,NA,NA,NA,NA,NA,NA,$35409.41,NA,NA,$40720.82,$35409.41,NA,$35409.41,$35409.41,NA,$33638.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-C,NA,NA,$27296.76,$33043.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28733.43,NA,NA,NA,NA,NA,NA,NA,$28733.43,NA,NA,NA,NA,NA,NA,NA,$28733.43,NA,NA,$33043.44,$28733.43,NA,$28733.43,$28733.43,NA,$27296.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Other disabling impairments,CMG 2005-D,NA,NA,$24999.83,$30262.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26315.61,NA,NA,NA,NA,NA,NA,NA,$26315.61,NA,NA,NA,NA,NA,NA,NA,$26315.61,NA,NA,$30262.95,$26315.61,NA,$26315.61,$26315.61,NA,$24999.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-A,NA,NA,$17770.09,$21511.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18705.35,NA,NA,NA,NA,NA,NA,NA,$18705.35,NA,NA,NA,NA,NA,NA,NA,$18705.35,NA,NA,$21511.16,$18705.35,NA,$18705.35,$18705.35,NA,$17770.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-B,NA,NA,$28428.67,$34413.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29924.92,NA,NA,NA,NA,NA,NA,NA,$29924.92,NA,NA,NA,NA,NA,NA,NA,$29924.92,NA,NA,$34413.65,$29924.92,NA,$29924.92,$29924.92,NA,$28428.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Burns,CMG 2101-C,NA,NA,$21615.12,$26165.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22752.76,NA,NA,NA,NA,NA,NA,NA,$22752.76,NA,NA,NA,NA,NA,NA,NA,$22752.76,NA,NA,$26165.67,$22752.76,NA,$22752.76,$22752.76,NA,$21615.12,NA,NA,NA,NA
